learning, infinitive, pos
aprenden,aprender,Verb
trabaje,trabajar,Verb
salgo,salir,Verb
estudia,estudiar,Verb
trabajas,trabajar,Verb
cogen,coger,Verb
cogemos,coger,Verb
coge,coger,Verb
hablan,hablar,Verb
entiendo,entender,Verb
comen,comer,Verb
usan,usar,Verb
necesita escribir,,
a él,,
abren,abrir,Verb
escuchamos,escuchar,Verb
con nadie,,
salen,salir,Verb
escriben,escribir,Verb
me puedo probar,,
cantaste,cantar,Verb
dibujamos,dibujar,Verb
comprende,comprender,Verb
comprendo,comprender,Verb
estudiaron,estudiar,Verb
las comen,,
beben,beber,Verb
mandé,mandar,Verb
pintamos,pintar,Verb
trabajamos,trabajar,Verb
necesitamos abrir,,
comer una,,
estudiamos,estudiar,Verb
bailó,bailar,Verb
odiaste,odiar,Verb
prefieren,preferir,Verb
trabajan,trabajar,Verb
haga,hacer,Verb
escuche,escuchar,Verb
amables,,Adjective
cenamos,cenar,Verb
vaya,ir,Verb
tenías,tener,Verb
venimos,venir,Verb
extra,,Adjective
bebimos,beber,Verb
estudias,estudiar,Verb
cocinaste,cocinar,Verb
probaron,probar,Verb
cenan,cenar,Verb
desayunan,desayunar,Verb
traemos,traer,Verb
sirves,servir,Verb
saludables,,Adjective
cenaron,cenar,Verb
sirvo,servir,Verb
montabas,montar,Verb
nadaba,nadar,Verb
excelentes,,Adjective
cenó,cenar,Verb
hobby,,Noun
corriste,correr,Verb
nadé,nadar,Verb
montaron,montar,Verb
nadó,nadar,Verb
monté,montar,Verb
invita,invitar,Verb
golf,,Noun
montó,montar,Verb
corrieron,correr,Verb
usamos,usar,Verb
servimos,servir,Verb
sabemos dónde,,
cenas,cenar,Verb
entendemos,entender,Verb
almuerzas,almorzar,Verb
jugamos,jugar,Verb
panes,,Noun
abro,abrir,Verb
estudiabas,estudiar,Verb
abres la,,
jugabas,jugar,Verb
comías,comer,Verb
leías,leer,Verb
montaba,montar,Verb
leía,leer,Verb
pruebe,probar,Verb
cierras la,,
interesan,interesarse,Verb
vivía,vivir,Verb
vivías,vivir,Verb
empezamos,empezar,Verb
miramos,mirar,Verb
aprendiendo a,,
inteligentes,,Adjective
disfrutaste,disfrutar,Verb
eras,ser,Verb
nadaron,nadar,Verb
ponga,poner,Verb
use,usar,Verb
ayude,ayudar,Verb
quiere dibujar,,
hablando,hablar,Verb
tomar el,,
nadabas,nadar,Verb
comía,comer,Verb
los comen,,
los necesita,,
invite,invitar,Verb
vivíamos,vivir,Verb
comíamos,comer,Verb
nadaste,nadar,Verb
van,ir,Verb
leemos,leer,Verb
hip-hop,,
conversamos,conversar,Verb
sé cuándo,,
bailes,bailar,Verb
voy,ir,Verb
encantan,encantar,Verb
conversó,conversar,Verb
conversé,conversar,Verb
fueron unos,,
baila,bailar,Verb
llega,llegar,Verb
llegue,llegar,Verb
aprende,aprender,Verb
ninguno de,,
quieren,querer,Verb
escribí,escribir,Verb
saliendo,salir,Verb
vives,vivir,Verb
viajamos,viajar,Verb
compran,comprar,Verb
mi nuevo,,
escribo,escribir,Verb
espera,esperar,Verb
disfruté,disfrutar,Verb
queremos abrir,,
pagamos,pagar,Verb
sabes quién,,
necesitan,necesitar,Verb
sabes cuándo,,
hable,hablar,Verb
escribimos,escribir,Verb
escriba,escribir,Verb
encontraste,encontrar,Verb
momentos,,Noun
estudias en,,
habla,hablar,Verb
probé,probar,Verb
compañeros de cuarto,,
primas,,Noun
compañera de cuarto,,
cojo,coger,Verb
bailamos,bailar,Verb
nadamos,nadar,Verb
caminamos,caminar,Verb
gustan,gustar,Verb
salió,salir,Verb
qué elegante,,
tomamos,tomar,Verb
conversaron,conversar,Verb
pruebas,probar,Verb
conversaste,conversar,Verb
bebemos,beber,Verb
disculpa,disculparse,Verb
hablaste,hablar,Verb
llamaste,llamar,Verb
viviste,vivir,Verb
visitaste,visitar,Verb
disculpe, señor,,
llamamos,llamar,Verb
compramos,comprar,Verb
lee,leer,Verb
importantes,,Adjective
estudiantes,,Noun
primo,,Noun
compañeros de clase,,
notas,,Noun
juegos de mesa,,
juego de mesa,,
se acordó,,
compañeras de clase,,
visitaba,visitar,Verb
fue un,,
caminó,caminar,Verb
comían,comer,Verb
jugaba,jugar,Verb
visitaban,visitar,Verb
vivían,vivir,Verb
jugaban,jugar,Verb
querría,querer,Verb
estamos,estar,Verb
pon,poner,Verb
hicimos,hacer,Verb
necesito,necesitar,Verb
interesantes,,Adjective
fui,ser,Verb
dijo,decir,Verb
dije,decir,Verb
dijiste,decir,Verb
trajiste,traer,Verb
campamentos,,Noun
televisores,,Noun
perdidas,,Adjective
sillón,,Noun
encendidos,,Adjective
apagada,,Adjective
dormidos,,Adjective
encendido,,Adjective
pintadas,,Adjective
encendida,,Adjective
perdidos,,Adjective
dormida,,Adjective
encendidas,,Adjective
encendí,encender,Verb
encendieron,encender,Verb
dormido,,Adjective
sillones,,Noun
apagadas,,Adjective
apagado,,Adjective
apagó,apagar,Verb
apagaste,apagar,Verb
cómoda,,Noun
estufas,,Noun
pintada,,Adjective
pintados,,Adjective
cafetera,,Noun
portátil,,Adjective
compañero de clase,,
cuentos,,Noun
se acordaron,,
me acordé,,
tengo,tener,Verb
mira,mirar,Verb
encontraron,encontrar,Verb
quieres,querer,Verb
abuelito,,Noun
tenía,tener,Verb
méxico,,Proper noun
teníamos,tener,Verb
bonito,,
tuvo,tener,Verb
tuve,tener,Verb
México,,Proper noun
a mí,,